subj_idx,response,rt,study,phase,offer,rev_con,rev_cat
1,0,1.486800696,Victim,group,fair,3,Three
1,0,1.744918361,Victim,group,amb,1,One
1,0,1.253735068,Victim,group,amb,0,Zero
1,1,1.233767254,Victim,group,fair,4,Four
1,0,1.599041117,Victim,group,unfair,1,One
1,0,2.510649834,Victim,group,fair,3,Three
1,0,1.243301375,Victim,group,fair,1,One
1,0,2.202519603,Victim,group,fair,2,Two
1,1,1.799142802,Victim,group,unfair,4,Four
1,1,0.6858741,Victim,group,unfair,4,Four
1,0,1.276417611,Victim,group,fair,2,Two
1,0,1.329907962,Victim,alone,fair,NA,Alone
1,1,1.438383485,Victim,group,amb,2,Two
1,1,2.722488679,Victim,group,amb,2,Two
1,0,0.965488104,Victim,group,fair,0,Zero
1,0,3.168024135,Victim,group,amb,0,Zero
1,0,2.036584615,Victim,group,fair,2,Two
1,1,1.027129483,Victim,group,amb,3,Three
1,0,2.352494609,Victim,group,fair,4,Four
1,1,1.491847684,Victim,group,fair,4,Four
1,1,1.430570426,Victim,group,amb,2,Two
1,1,1.220541462,Victim,group,unfair,4,Four
1,1,1.324738669,Victim,group,amb,3,Three
1,1,3.433714975,Victim,group,amb,0,Zero
1,0,4.695344647,Victim,group,fair,1,One
1,0,4.384985793,Victim,group,amb,1,One
1,1,2.441094542,Victim,group,amb,1,One
1,1,1.271271514,Victim,group,unfair,3,Three
1,1,2.12449965,Victim,group,amb,2,Two
1,0,2.050479599,Victim,group,fair,1,One
1,1,1.142196138,Victim,group,fair,4,Four
1,0,4.19121997,Victim,group,amb,0,Zero
1,1,1.222567305,Victim,group,amb,3,Three
1,1,2.421332634,Victim,group,amb,2,Two
1,1,2.910495269,Victim,group,amb,1,One
1,0,3.620683301,Victim,group,fair,1,One
1,0,1.513762988,Victim,group,unfair,2,Two
1,0,2.138253063,Victim,group,unfair,0,Zero
1,1,1.022701592,Victim,group,amb,3,Three
1,1,3.055732954,Victim,group,unfair,2,Two
1,0,1.46247351,Victim,group,unfair,0,Zero
1,1,1.621298457,Victim,group,amb,4,Four
1,1,1.644110308,Victim,group,amb,3,Three
1,0,2.118517744,Victim,group,amb,1,One
1,1,2.465859368,Victim,group,amb,1,One
1,1,0.983694011,Victim,group,amb,3,Three
1,1,0.851585271,Victim,group,unfair,4,Four
1,0,1.443313237,Victim,group,fair,2,Two
1,1,1.355127556,Victim,group,unfair,3,Three
1,1,1.815285466,Victim,group,amb,1,One
1,0,1.16661542,Victim,group,unfair,0,Zero
1,1,2.812203125,Victim,group,amb,3,Three
1,1,1.886446511,Victim,group,fair,2,Two
1,0,1.793486483,Victim,group,unfair,0,Zero
1,1,1.700593382,Victim,group,amb,4,Four
1,0,1.459677227,Victim,group,fair,4,Four
1,0,1.417486397,Victim,group,fair,0,Zero
1,0,1.86145879,Victim,group,fair,3,Three
1,0,1.532562677,Victim,group,fair,0,Zero
1,0,3.504843138,Victim,group,unfair,0,Zero
1,1,1.91282532,Victim,group,unfair,3,Three
1,1,3.317921352,Victim,group,unfair,3,Three
1,1,1.001914175,Victim,group,amb,4,Four
1,1,0.793743318,Victim,group,unfair,4,Four
1,0,3.2045363,Victim,group,amb,1,One
1,0,0.712857675,Victim,group,fair,0,Zero
1,1,1.057900589,Victim,group,amb,3,Three
1,1,1.651860562,Victim,group,unfair,4,Four
1,1,1.51135846,Victim,group,fair,3,Three
1,0,0.644726085,Victim,group,unfair,1,One
1,1,0.749215831,Victim,group,fair,3,Three
1,0,0.793181047,Victim,group,fair,0,Zero
1,1,1.215956031,Victim,group,fair,3,Three
1,0,1.258450003,Victim,alone,fair,NA,Alone
1,0,1.014482183,Victim,group,amb,1,One
